                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80236,                 2.0449,                 1.1003,                 1.3088,                0.00137,                 0.2625,                0.00079,                0.00025,                0.00108,                 0.1875,                0.00054,                0.00017,                  4.181,                 2681.3,                    inf,                 28.964,             0.00065278,             0.00065278,             0.00065278
                      2,                 0.7288,                0.85705,                0.68095,                 1.1897,                0.00137,                 0.2625,                0.00079,                0.00025,                0.00108,                 0.1875,                0.00054,                0.00017,                    nan,                    nan,                    nan,                    nan,              0.0013064,              0.0013064,              0.0013064
                      3,                0.76718,                0.93174,                0.65616,                  1.184,                0.31275,                 0.3625,                0.30017,                0.09741,                0.02573,                   0.05,                0.00182,                0.00021,                 1.9115,                 64.382,                 18.079,                 4.3941,              0.0019468,              0.0019468,              0.0019468
                      4,                0.78761,                0.73676,                0.65663,                 1.2261,                0.67204,                  0.625,                0.68865,                0.47722,                0.28449,                   0.25,                0.16613,                0.04389,                 1.5393,                 14.528,                 4.0157,                 2.7135,              0.0019406,              0.0019406,              0.0019406
                      5,                0.65741,                0.73836,                0.56332,                 1.1436,                0.28577,                    0.6,                0.30205,                 0.1414,                0.08308,                   0.05,                0.02916,                0.00989,                 1.6072,                 18.566,                 5.2357,                 2.2919,              0.0019208,              0.0019208,              0.0019208
                      6,                0.61692,                0.72161,                0.52506,                 1.1056,                0.48241,                 0.3375,                0.38223,                0.18364,                0.42027,                0.25379,                0.21417,                 0.0536,                  1.816,                 11.328,                 3.0119,                 2.6172,               0.001901,               0.001901,               0.001901
                      7,                0.58547,                0.63879,                0.48876,                 1.0891,                0.85731,                 0.8125,                 0.9123,                0.73375,                 0.8337,                0.81466,                0.88733,                0.77563,                0.88261,                 2.3135,                 1.4241,                   1.57,              0.0018812,              0.0018812,              0.0018812
                      8,                0.58452,                0.65621,                0.48801,                 1.0925,                0.91516,                0.94386,                0.96898,                0.84715,                0.91516,                0.94386,                0.96898,                0.88319,                0.67169,                 2.3996,                 1.1232,                 1.3434,              0.0018614,              0.0018614,              0.0018614
                      9,                0.56584,                0.60426,                0.46245,                 1.0717,                0.95829,                 0.9625,                0.98793,                0.87783,                0.96058,                 0.9625,                0.98023,                0.83612,                0.58503,                   1.18,                0.59662,                 1.2455,              0.0018416,              0.0018416,              0.0018416
                     10,                0.52785,                0.63219,                0.44623,                 1.0558,                0.88964,                 0.8875,                0.90175,                 0.7034,                0.88404,                0.85769,                0.89227,                 0.7043,                0.96881,                 2.2376,                 1.2618,                 1.6506,              0.0018218,              0.0018218,              0.0018218
                     11,                  0.513,                0.54848,                0.42669,                 1.0477,                0.90889,                0.99763,                0.98853,                 0.8625,                0.94789,                 0.9375,                0.98195,                 0.8956,                  0.589,                0.74125,                0.57342,                 1.2086,               0.001802,               0.001802,               0.001802
                     12,                0.52047,                0.56811,                 0.4259,                 1.0557,                0.97367,                      1,                 0.9934,                0.88719,                  0.962,                 0.9875,                0.99291,                0.94705,                0.50031,                0.44184,                0.45231,                 1.1192,              0.0017822,              0.0017822,              0.0017822
