Long,Lat,UTM_X(East),UTM_Y(North)
126.3146952,33.3054524,249981.329207276,3688368.798899
126.3146954,33.3054522,249981.347262681,3688368.77623644
126.3146953,33.3054522,249981.337949327,3688368.7764763
126.3146953,33.3054523,249981.338234976,3688368.78756772
126.3146955,33.3054524,249981.357147331,3688368.79817943
126.3146956,33.3054523,249981.366175033,3688368.78684815
126.3146956,33.3054523,249981.366175033,3688368.78684815
126.3146954,33.3054524,249981.347833979,3688368.79841929
126.3146953,33.3054527,249981.339377573,3688368.83193342
126.3146953,33.3054524,249981.338520625,3688368.79865915
126.3146953,33.3054525,249981.338806275,3688368.80975057
126.3146951,33.3054526,249981.320465221,3688368.82132171
126.3146947,33.3054525,249981.282926166,3688368.81118971
126.3146949,33.3054526,249981.301838518,3688368.82180142
126.3146947,33.3054526,249981.283211815,3688368.82228113
126.3146943,33.3054526,249981.245958409,3688368.82324056
126.3146938,33.3054527,249981.199677298,3688368.83553127
126.3146939,33.3054528,249981.209276299,3688368.84638284
126.3146938,33.3054528,249981.199962948,3688368.84662269
126.3146936,33.3054529,249981.181621894,3688368.85819383
126.3146938,33.3054527,249981.199677298,3688368.83553127
126.3146941,33.3054528,249981.227903002,3688368.84590312
126.3146945,33.3054529,249981.265442059,3688368.85603512
126.3146946,33.3054529,249981.274755411,3688368.85579526
126.314695,33.305453,249981.312294466,3688368.86592726
126.3146952,33.3054529,249981.330635522,3688368.85435613
126.3146953,33.3054531,249981.340520169,3688368.87629912
126.3146956,33.3054532,249981.368745875,3688368.88667097
126.3146956,33.3054532,249981.368745875,3688368.88667097
126.3146955,33.3054531,249981.359146875,3688368.87581941
126.3146961,33.3054532,249981.415312632,3688368.88547169
126.3146962,33.3054532,249981.424625983,3688368.88523184
126.3146959,33.3054531,249981.39640028,3688368.87485998
126.3146957,33.3054531,249981.377773577,3688368.87533969
126.3146959,33.305453,249981.396114631,3688368.86376855
126.314696,33.3054531,249981.405713632,3688368.87462012
126.3146963,33.305453,249981.433368037,3688368.86280913
126.3146965,33.3054531,249981.452280389,3688368.87342084
126.3146966,33.3054531,249981.461593742,3688368.87318099
126.3146971,33.305453,249981.507874851,3688368.86089028
126.3146966,33.3054533,249981.46216504,3688368.89536384
126.3146967,33.3054531,249981.470907094,3688368.87294113
126.3146964,33.3054533,249981.443538338,3688368.89584355
126.3146963,33.3054532,249981.433939335,3688368.88499198
126.3146961,33.3054531,249981.415026983,3688368.87438027
126.3146961,33.305453,249981.414741334,3688368.86328884
126.3146961,33.305453,249981.414741334,3688368.86328884
126.3146964,33.3054531,249981.44296704,3688368.8736607
126.3146964,33.3054532,249981.443252689,3688368.88475212
126.3146967,33.3054531,249981.470907094,3688368.87294113
126.3146969,33.3054532,249981.489819446,3688368.88355284
126.3146965,33.3054532,249981.452566038,3688368.88451227
126.3146961,33.305453,249981.414741334,3688368.86328884
126.3146961,33.305453,249981.414741334,3688368.86328884
126.3146961,33.3054529,249981.414455685,3688368.85219742
126.3146957,33.3054531,249981.377773577,3688368.87533969
126.3146955,33.305453,249981.358861225,3688368.86472798
126.3146957,33.305453,249981.377487928,3688368.86424827
126.3146955,33.3054529,249981.358575576,3688368.85363656
126.3146959,33.3054529,249981.395828982,3688368.85267713
126.3146961,33.3054529,249981.414455685,3688368.85219742
126.3146957,33.3054529,249981.377202279,3688368.85315684
126.3146958,33.3054529,249981.386515631,3688368.85291699
126.3146962,33.305453,249981.424054685,3688368.86304898
126.3146968,33.305453,249981.479934796,3688368.86160985
126.3146972,33.3054532,249981.5177595,3688368.88283327
126.3146974,33.3054531,249981.536100554,3688368.87126213
126.3146977,33.3054534,249981.564897555,3688368.90381684
126.314698,33.3054533,249981.592551962,3688368.89200585
126.3146985,33.3054533,249981.639118719,3688368.89080656
126.314698,33.3054531,249981.591980665,3688368.869823
126.3146979,33.3054532,249981.582952962,3688368.88115428
